epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1067.12,1.47743,2.08695,1.70233,0.52107,0.45762,0.47194,0.21917,1.78645,3.89341,2.35582,0.000547118,0.000547118,0.000547118
2,1806.48,1.48534,1.61011,1.74452,0.34482,0.57168,0.43487,0.16076,1.97174,10.3769,2.75972,0.00108095,0.00108095,0.00108095
3,2470.37,1.55846,1.61337,1.77111,0.31512,0.32999,0.27052,0.09547,2.15245,4.65802,2.86785,0.00159278,0.00159278,0.00159278
4,3129.58,1.53608,1.53713,1.76852,0.57034,0.32478,0.29685,0.13158,2.17183,2.9443,3.09231,0.00156798,0.00156798,0.00156798
5,3923.73,1.50925,1.53559,1.72888,0.64577,0.42964,0.47056,0.21122,2.08766,2.08318,2.69009,0.00153497,0.00153497,0.00153497
6,4683.8,1.45312,1.4494,1.68526,0.71192,0.24432,0.22974,0.0889,2.06495,3.05807,2.51465,0.00150197,0.00150197,0.00150197
7,5352.35,1.44092,1.36722,1.68801,0.6385,0.58759,0.68506,0.34183,1.76457,1.48731,2.24925,0.00146896,0.00146896,0.00146896
8,6455.43,1.41182,1.34715,1.67236,0.77168,0.68572,0.75828,0.38295,1.55253,1.28526,1.99796,0.00143595,0.00143595,0.00143595
9,7847.1,1.38888,1.3158,1.65064,0.67391,0.62052,0.66975,0.30969,1.69555,1.68971,2.13763,0.00140295,0.00140295,0.00140295
10,8954.55,1.39983,1.32094,1.65259,0.61094,0.54392,0.65573,0.37395,1.51668,1.39993,1.88682,0.00136994,0.00136994,0.00136994
11,10040.5,1.34486,1.22731,1.61776,0.71318,0.58494,0.64895,0.35662,1.56708,1.46085,1.94666,0.00133693,0.00133693,0.00133693
12,11299.2,1.37757,1.21456,1.61818,0.77644,0.71552,0.79003,0.45441,1.43385,1.11986,1.80433,0.00130393,0.00130393,0.00130393
13,12833.4,1.34244,1.2028,1.57916,0.81527,0.74908,0.82501,0.44539,1.47433,1.05935,1.83989,0.00127092,0.00127092,0.00127092
